
93	RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2025	120
94	RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	INFORMATION TECHNOLOGY	30-06-2025	300
95	RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	POST GRADUATE	BIOTECHNOLOGY	30-06-2025	24
96	RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHATRONICS ENGINEERING	30-06-2025	60
97	S A ENGINEERING COLLEGE	Tamil Nadu	THIRUVALLUR	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE AND ENGINEERING	30-06-2025	300
98	S A ENGINEERING COLLEGE	Tamil Nadu	THIRUVALLUR	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	INFORMATION TECHNOLOGY	30-06-2025	120
99	CHANDIGARH ENGINEERING COLLEGE-CGC LANDRAN MOHALI	Punjab	MOHALI	Private-Self Financing	Punjab Technical University, Jalandhar	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE & ENGINEERING	30-06-2025	420
100	CHANDIGARH ENGINEERING COLLEGE-CGC LANDRAN MOHALI	Punjab	MOHALI	Private-Self Financing	Punjab Technical University, Jalandhar	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRONICS & COMMUNICATION ENGG	30-06-2025	240
101	THAKUR INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH	Maharashtra	MUMBAI CITY	Private-Self Financing	Mumbai University, Mumbai	MANAGEMENT	POST GRADUATE	MMS	30-06-2025	240
102	SANT LONGOWAL INSTITUTE OF ENGINEERING AND TECHNOLOGY SLIET DEEMED TO BE UNIVERSITY	Punjab	SANGRUR	Deemed to be University(Govt)	NOT APPLICABLE	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	CHEMICAL ENGINEERING	30-06-2024	60
103	SANT LONGOWAL INSTITUTE OF ENGINEERING AND TECHNOLOGY SLIET DEEMED TO BE UNIVERSITY	Punjab	SANGRUR	Deemed to be University(Govt)	NOT APPLICABLE	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	FOOD TECHNOLOGY	30-06-2024	60
104	SANT LONGOWAL INSTITUTE OF ENGINEERING AND TECHNOLOGY SLIET DEEMED TO BE UNIVERSITY	Punjab	SANGRUR	Deemed to be University(Govt)	NOT APPLICABLE	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE & ENGINEERING	30-06-2024	120
